date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:31	3625/3625	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202026%2021:28:30%20GMT	https://www.asu.edu.om/robots.txt		(from )
01:28:34	104790/104790	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:30%20GMT	https://www.asu.edu.om/	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/index.html	(from )
01:28:35	1852/1852	---M-Z	200	added ('OK')	text/css	etag:%22f8235a44c56dd81:0%22	https://www.asu.edu.om/vendor/slick/slick.min.css	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/vendor/slick/slick.min.css	(from https://www.asu.edu.om/)
01:28:36	3683/3683	---M-Z	200	added ('OK')	text/css	etag:%22346c9143c56dd81:0%22	https://www.asu.edu.om/vendor/slick/slick-theme.min.css	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/vendor/slick/slick-theme.min.css	(from https://www.asu.edu.om/)
01:28:37	26053/26053	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Nov%202025%2000:27:41%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/shahadandheba/unpkg.com/aos@2.3.1/dist/aos.css	(from https://www.asu.edu.om/)
01:28:39	233127/233127	---MCZ	200	added ('OK')	text/css	etag:%22a2784066c56dd81:0%22	https://www.asu.edu.om/Content/bootstrap.css	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Content/bootstrap.css	(from https://www.asu.edu.om/)
01:28:41	183088/183088	---MCZ	200	added ('OK')	text/css	date:Thu,%2023%20Apr%202026%2021:28:39%20GMT	https://www.asu.edu.om/Content/css?v=JgUzBTAV9i4mEHsp4MOTexBN5A-YvtbLpGyTZRr7omU1	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Content/css4934.css	(from https://www.asu.edu.om/)
01:28:41	83967/83967	---MCZ	200	added ('OK')	text/css	etag:%22e1ebcbf8eea7d81:0%22	https://www.asu.edu.om/Content/fonts/css/all.min.css	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Content/fonts/css/all.min.css	(from https://www.asu.edu.om/)
01:28:42	118/118	---M--	302	error ('Found')	text/html	date:Thu,%2023%20Apr%202026%2021:28:41%20GMT	https://www.asu.edu.om/home/changelanguage?lang=Ar	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/home/changelanguage.69f43.delayed	(from https://www.asu.edu.om/)
01:28:43	46200/46200	---M--	200	added ('OK')	image/png	etag:%226695329614ecd51:0%22	https://www.asu.edu.om/img/logo-icon.png	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/img/logo-icon.png	(from https://www.asu.edu.om/)
01:28:46	58085/58085	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:44%20GMT	https://www.asu.edu.om/Page/Details/37?Message%20from%20the%20Vice%20Chancellor	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/37432c.html	(from https://www.asu.edu.om/)
01:28:47	57399/57399	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:45%20GMT	https://www.asu.edu.om/Page/Details/141?Vision,%20Mission%20and%20Values	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/1415032.html	(from https://www.asu.edu.om/)
01:28:49	33108/33108	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:48%20GMT	https://www.asu.edu.om/qaa	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/qaa.html	(from https://www.asu.edu.om/)
01:28:50	49282/49282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2023%20Apr%202026%2021:28:49%20GMT	https://www.asu.edu.om/Page/Details/25	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/25.c.delayed	(from https://www.asu.edu.om/)
01:28:51	60693/60693	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:49%20GMT	https://www.asu.edu.om/Team/?t=Board%20of%20Trustees	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index0827.html	(from https://www.asu.edu.om/)
01:28:51	56870/56870	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:49%20GMT	https://www.asu.edu.om/Team/?t=Board%20of%20Directors	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/indexdb80.html	(from https://www.asu.edu.om/)
01:28:53	57633/57633	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:51%20GMT	https://www.asu.edu.om/Team/?t=Academic%20Committee	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index4f4a.html	(from https://www.asu.edu.om/)
01:28:53	54897/54897	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:51%20GMT	https://www.asu.edu.om/Team/?t=Audit%20and%20Risk%20Committee	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index541e.html	(from https://www.asu.edu.om/)
01:28:55	162258/162258	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:51%20GMT	https://www.asu.edu.om/Mashreq/	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Mashreq/index.html	(from https://www.asu.edu.om/)
01:28:56	73709/73709	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:53%20GMT	https://www.asu.edu.om/COBA	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/COBA.html	(from https://www.asu.edu.om/)
01:28:56	84301/84301	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:53%20GMT	https://www.asu.edu.om/programmes/Diploma/	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/programmes/Diploma/index.html	(from https://www.asu.edu.om/)
01:29:00	79255/79255	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:56%20GMT	https://www.asu.edu.om/COE	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/COE.html	(from https://www.asu.edu.om/)
01:29:00	92307/92307	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:57%20GMT	https://www.asu.edu.om/programmes/Master/	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/programmes/Master/index.html	(from https://www.asu.edu.om/)
01:29:00	133742/133742	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:28:56%20GMT	https://www.asu.edu.om/programmes/Bachelors/	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/programmes/Bachelors/index.html	(from https://www.asu.edu.om/)
01:29:04	86350/86350	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:03%20GMT	https://www.asu.edu.om/COAH	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/COAH.html	(from https://www.asu.edu.om/)
01:29:05	49282/49282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2023%20Apr%202026%2021:29:04%20GMT	https://www.asu.edu.om/COL	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/COL.11.delayed	(from https://www.asu.edu.om/)
01:29:07	49282/49282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2023%20Apr%202026%2021:29:06%20GMT	https://www.asu.edu.om/CLFS	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/CLFS.12.delayed	(from https://www.asu.edu.om/)
01:29:09	57454/57454	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:07%20GMT	https://www.asu.edu.om/Page/Details/47?Academic%20Advising%20Center	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/47c8cb.html	(from https://www.asu.edu.om/)
01:29:09	83188/83188	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:07%20GMT	https://www.asu.edu.om/Team/?t=College%20of%20Business%20Administration	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/indexaa09.html	(from https://www.asu.edu.om/)
01:29:10	66836/66836	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:01%20GMT	https://www.asu.edu.om/CAHS	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/CAHS.html	(from https://www.asu.edu.om/)
01:29:11	78558/78558	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:10%20GMT	https://www.asu.edu.om/Team/?t=College%20of%20Engineering	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index139e.html	(from https://www.asu.edu.om/)
01:29:12	67634/67634	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:11%20GMT	https://www.asu.edu.om/IT	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/IT.html	(from https://www.asu.edu.om/)
01:29:13	96660/96660	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:11%20GMT	https://www.asu.edu.om/Team/?t=College%20of%20Applied%20and%20Health%20Sciences	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index63ee.html	(from https://www.asu.edu.om/)
01:29:14	110606/110606	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:12%20GMT	https://www.asu.edu.om/Team/?t=College%20of%20Arts%20and%20Humanities	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/index7baf.html	(from https://www.asu.edu.om/)
01:29:15	65740/65740	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:12%20GMT	https://www.asu.edu.om/Team/?t=College%20of%20Law	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/indexcda1.html	(from https://www.asu.edu.om/)
01:29:17	11602337/11602337	---M--	200	added ('OK')	application/pdf	etag:%22999e3313b2a0dc1:0%22	https://www.asu.edu.om/files/University-Prospectus25_26.pdf	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/files/University-Prospectus25_26.pdf	(from https://www.asu.edu.om/)
01:29:17	94568/94568	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:16%20GMT	https://www.asu.edu.om/Team/?t=Centre%20for%20Language%20and%20Foundation%20Studies	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Team/indexf7aa.html	(from https://www.asu.edu.om/)
01:29:20	56710/56710	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:18%20GMT	https://www.asu.edu.om/Page/Details/143?ASU%20Research%20Day%20Booklet%202019	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/143d415.html	(from https://www.asu.edu.om/)
01:29:21	56711/56711	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:19%20GMT	https://www.asu.edu.om/Page/Details/398?ASU%20Research%20Day%202020	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/398a622.html	(from https://www.asu.edu.om/)
01:29:22	56713/56713	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:21%20GMT	https://www.asu.edu.om/Page/Details/399?ASU%20Research%20Week%202021	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/399310a.html	(from https://www.asu.edu.om/)
01:29:24	62674/62674	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Apr%202026%2021:29:22%20GMT	https://www.asu.edu.om/Page/Details/400?The%202022%20ASU%20Research%20Day	C:/My%20Web%20Sites/shahadandheba/www.asu.edu.om/Page/Details/40078a7.html	(from https://www.asu.edu.om/)
